   Surv  SCols  Eject  Cols            dE            dL
0   5.0    0.0    0.0   0.0  4.757470e-12  1.460120e-12
1   5.0    0.0    0.0   0.0  5.748240e-12  9.793690e-13
2   5.0    0.0    0.0   0.0  8.512820e-12  1.109750e-12
3   5.0    0.0    0.0   0.0  7.662530e-12  1.257730e-12
4   5.0    0.0    0.0   0.0  6.182250e-12  9.536950e-13
5   5.0    0.0    0.0   0.0  2.200620e-12  2.322510e-12
6   5.0    0.0    0.0   0.0  8.373160e-12  1.797240e-12
7   5.0    0.0    0.0   0.0  6.256700e-12  1.589930e-12
8   5.0    0.0    0.0   0.0  4.992500e-12  6.849950e-13
9   5.0    0.0    0.0   0.0  6.027860e-12  9.850970e-13
